state,00,01,02,10,11,12,20,21,22
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",-650.1875,-674.3125,-595.875,-635.875,-557.4375,-668.625,-603.6875,-684.1875,-575.4375
"[[-1, 0, 0], [0, 0, 0], [0, 0, 0]]",,32.25,53.5,37.0,140.875,47.625,55.875,38.375,55.25
"[[0, -1, 0], [0, 0, 0], [0, 0, 0]]",65.125,,49.75,56.125,174.875,51.375,56.25,41.875,52.875
"[[0, 0, -1], [0, 0, 0], [0, 0, 0]]",54.375,34.625,,43.375,155.5,36.25,53.125,48.25,52.75
"[[0, 0, 0], [-1, 0, 0], [0, 0, 0]]",47.5,40.625,58.875,,168.75,36.0,56.625,52.25,63.5
"[[0, 0, 0], [0, -1, 0], [0, 0, 0]]",295.5,78.625,112.5,81.625,,78.25,95.0,79.25,108.75
"[[0, 0, 0], [0, 0, -1], [0, 0, 0]]",71.125,39.5,50.75,34.5,66.25,,62.125,46.75,133.25
"[[0, 0, 0], [0, 0, 0], [-1, 0, 0]]",54.5,40.625,45.125,34.75,138.125,43.875,,38.5,41.5
"[[0, 0, 0], [0, 0, 0], [0, -1, 0]]",62.625,37.125,152.25,52.875,77.875,55.25,57.5,,52.125
"[[0, 0, 0], [0, 0, 0], [0, 0, -1]]",49.125,46.0,45.875,44.25,160.5,35.625,50.125,30.375,
"[[-1, 1, 0], [0, 0, 0], [0, 0, 0]]",,,-6.0,-4.125,-0.25,-3.875,-5.25,-10.875,-17.0
"[[-1, 0, 1], [0, 0, 0], [0, 0, 0]]",,-26.375,,-17.0,-9.875,-6.875,-7.625,-17.875,-20.875
"[[-1, 0, 0], [1, 0, 0], [0, 0, 0]]",,-5.125,-11.125,,-5.0,-11.375,-14.375,-8.625,-14.0
"[[-1, 0, 0], [0, 1, 0], [0, 0, 0]]",,-42.5,-33.0,-34.0,,-40.25,-33.375,-34.5,-53.75
"[[-1, 0, 0], [0, 0, 1], [0, 0, 0]]",,-22.5,-11.0,-18.375,-8.75,,-17.5,-22.0,-9.625
"[[-1, 0, 0], [0, 0, 0], [1, 0, 0]]",,-27.5,-12.75,-17.625,-10.625,-19.75,,-19.75,-10.25
