state,00,01,02,10,11,12,20,21,22
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",448.75,819.25,473.25,656.5,325.75,605.0,466.25,722.0,470.5
"[[-1, 0, 0], [0, 0, 0], [0, 0, 0]]",,-30.25,-34.0,-30.5,-39.25,-30.25,-36.25,-30.75,-35.5
"[[0, -1, 0], [0, 0, 0], [0, 0, 0]]",-109.5,,-109.5,-109.75,-140.25,-109.75,-120.25,-109.25,-111.0
"[[0, 0, -1], [0, 0, 0], [0, 0, 0]]",-34.5,-34.25,,-36.25,-47.0,-34.25,-34.5,-35.0,-39.5
"[[0, 0, 0], [-1, 0, 0], [0, 0, 0]]",-41.0,-40.5,-50.25,,-45.25,-40.5,-43.0,-40.25,-45.75
"[[0, 0, 0], [0, -1, 0], [0, 0, 0]]",-25.5,-23.75,-30.0,-24.0,,-24.0,-29.25,-23.75,-28.75
"[[0, 0, 0], [0, 0, -1], [0, 0, 0]]",-51.5,-43.0,-49.75,-42.5,-60.5,,-42.75,-42.75,-42.75
"[[0, 0, 0], [0, 0, 0], [-1, 0, 0]]",-43.0,-33.25,-33.5,-33.25,-44.25,-36.0,,-33.0,-35.75
"[[0, 0, 0], [0, 0, 0], [0, -1, 0]]",-43.75,-41.25,-41.25,-41.0,-53.25,-40.75,-40.75,,-41.0
"[[0, 0, 0], [0, 0, 0], [0, 0, -1]]",-29.75,-30.0,-37.0,-30.0,-48.0,-29.75,-37.75,-30.0,
"[[-1, 1, 0], [0, 0, 0], [0, 0, 0]]",,,23.0,22.5,1.5,24.5,13.5,6.5,10.5
"[[-1, 0, 1], [0, 0, 0], [0, 0, 0]]",,16.5,,33.0,7.5,21.0,11.0,15.5,12.5
"[[-1, 0, 0], [1, 0, 0], [0, 0, 0]]",,17.0,20.5,,7.0,6.5,30.5,19.0,28.0
"[[-1, 0, 0], [0, 1, 0], [0, 0, 0]]",,10.5,12.5,16.0,,20.0,26.5,19.5,17.5
"[[-1, 0, 0], [0, 0, 1], [0, 0, 0]]",,22.5,4.5,11.0,11.5,,17.5,24.5,24.5
"[[-1, 0, 0], [0, 0, 0], [1, 0, 0]]",,13.0,20.0,22.5,6.0,15.0,,14.5,25.5
"[[-1, 0, 0], [0, 0, 0], [0, 1, 0]]",,10.0,16.0,27.0,11.5,17.0,5.5,,17.0
"[[-1, 0, 0], [0, 0, 0], [0, 0, 1]]",,14.0,2.5,32.0,8.0,28.0,3.5,18.0,
"[[1, -1, 0], [0, 0, 0], [0, 0, 0]]",,,72.0,54.5,25.0,70.0,57.0,68.0,41.5
"[[0, -1, 1], [0, 0, 0], [0, 0, 0]]",91.5,,,70.0,34.0,57.0,44.0,60.0,34.5
"[[0, -1, 0], [1, 0, 0], [0, 0, 0]]",38.5,,62.0,,19.0,66.0,38.5,96.0,52.5
"[[0, -1, 0], [0, 1, 0], [0, 0, 0]]",60.0,,35.5,74.5,,55.5,51.5,122.5,90.0
"[[0, -1, 0], [0, 0, 1], [0, 0, 0]]",53.0,,65.5,62.0,24.0,,55.5,86.5,48.5
"[[0, -1, 0], [0, 0, 0], [1, 0, 0]]",42.0,,42.5,82.5,38.0,66.0,,69.5,42.0
"[[0, -1, 0], [0, 0, 0], [0, 1, 0]]",48.5,,65.0,78.5,71.0,66.5,27.5,,26.0
"[[0, -1, 0], [0, 0, 0], [0, 0, 1]]",41.5,,56.0,53.5,46.5,88.5,47.0,50.0,
"[[1, 0, -1], [0, 0, 0], [0, 0, 0]]",,22.0,,17.5,18.5,12.0,22.0,24.0,6.5
"[[0, 1, -1], [0, 0, 0], [0, 0, 0]]",8.0,,,26.0,4.0,24.5,18.5,11.5,8.0
"[[0, 0, -1], [1, 0, 0], [0, 0, 0]]",3.5,27.0,,,13.5,17.0,7.5,32.0,24.5
"[[0, 0, -1], [0, 1, 0], [0, 0, 0]]",8.0,14.0,,28.5,,23.5,34.0,16.0,8.0
"[[0, 0, -1], [0, 0, 1], [0, 0, 0]]",28.0,5.0,,11.0,4.5,,23.0,20.5,27.5
"[[0, 0, -1], [0, 0, 0], [1, 0, 0]]",5.5,28.0,,11.5,17.5,17.0,,13.0,11.0
"[[0, 0, -1], [0, 0, 0], [0, 1, 0]]",14.5,11.0,,13.0,15.0,25.5,18.0,,17.0
"[[0, 0, -1], [0, 0, 0], [0, 0, 1]]",6.0,26.0,,17.0,15.0,21.0,14.0,21.5,
"[[1, 0, 0], [-1, 0, 0], [0, 0, 0]]",,21.5,16.0,,14.0,23.5,21.5,43.5,17.5
"[[0, 1, 0], [-1, 0, 0], [0, 0, 0]]",18.0,,15.5,,16.5,27.0,14.5,20.5,23.5
"[[0, 0, 1], [-1, 0, 0], [0, 0, 0]]",10.0,26.5,,,15.0,21.5,20.5,42.0,24.0
